model,template,entity,precision,recall,f1,f1_r
gpt3,cls,participants,0.3132530120481928,0.14130434782608695,0.1947565543071161,0.6140390356726928
gpt3,ext_def_exp,participants,0.2617801047120419,0.2717391304347826,0.2666666666666666,0.5193827194939611
gpt3,ext_exp,participants,0.2698961937716263,0.2826086956521739,0.2761061946902654,0.5091450320749935
gpt3,cls_def_exp,participants,0.34615384615384615,0.30978260869565216,0.32695984703632885,0.5090697983945515
gpt3,cls_exp,participants,0.3576923076923077,0.33695652173913043,0.34701492537313433,0.5021636549070029
gpt3,cls,time expressions,0.30666666666666664,0.5,0.3801652892561983,0.5202107383357383
gpt3,cls_def,time expressions,0.29292929292929293,0.6304347826086957,0.4,0.42675706238206246
gpt3,cls_def_exp,time expressions,0.3287671232876712,0.5217391304347826,0.40336134453781514,0.504063159063159
gpt3,cls_exp,time expressions,0.36,0.5869565217391305,0.4462809917355372,0.5320988733488734
gpt3,ext_def,time expressions,0.3787878787878788,0.5434782608695652,0.44642857142857145,0.519433621933622
gpt3,ext,time expressions,0.46511627906976744,0.43478260869565216,0.449438202247191,0.7523809523809524
gpt3,ext_def_exp,time expressions,0.42857142857142855,0.5217391304347826,0.47058823529411764,0.6196518759018759
gpt3,ext_exp,time expressions,0.5348837209302325,0.5,0.5168539325842696,0.7102417027417027
gpt4,ext_def,event triggers,0.08085106382978724,0.03925619834710744,0.05285118219749652,0.45750586044295405
gpt4,ext,event triggers,0.11170212765957446,0.04338842975206612,0.0625,0.5495492940183067
gpt4,cls_def,event triggers,0.13618677042801555,0.07231404958677685,0.09446693657219972,0.5056509431283522
gpt4,cls,event triggers,0.632996632996633,0.3884297520661157,0.4814340588988476,0.8152961460341712
gpt4,cls_exp,event triggers,0.5611888111888111,0.6632231404958677,0.6079545454545453,0.655195730429251
gpt4,cls_def_exp,event triggers,0.5599343185550082,0.7045454545454546,0.6239707227813357,0.6308601062805975
gpt4,ext_exp,event triggers,0.6184738955823293,0.6363636363636364,0.6272912423625254,0.707457506050915
gpt4,ext_def_exp,event triggers,0.6010733452593918,0.6942148760330579,0.6442953020134228,0.674755678577575
gpt4,ext_def,participants,0.15976331360946747,0.04891304347826087,0.07489597780859918,0.683293968979207
gpt4,ext,participants,0.1958041958041958,0.050724637681159424,0.08057553956834532,0.6660317238746123
gpt4,cls,participants,0.24414715719063546,0.1322463768115942,0.17156286721504113,0.6522693787107743
gpt4,cls_def,participants,0.24846625766871167,0.14673913043478262,0.18451025056947612,0.6554524810891033
gpt4,cls_def_exp,participants,0.48663101604278075,0.4945652173913043,0.490566037735849,0.5176068682544297
gpt4,cls_exp,participants,0.5,0.5018115942028986,0.5009041591320073,0.5245100442573593
gpt4,ext_exp,participants,0.5104529616724739,0.5307971014492754,0.5204262877442274,0.4931629966598342
gpt4,ext_def_exp,participants,0.5225694444444444,0.5452898550724637,0.5336879432624114,0.49257234059045363
gpt4,ext,time expressions,0.4166666666666667,0.43478260869565216,0.425531914893617,0.643148656898657
gpt4,ext_def,time expressions,0.4,0.4782608695652174,0.43564356435643564,0.5969157509157509
gpt4,cls_def,time expressions,0.4727272727272727,0.5652173913043478,0.5148514851485148,0.6383535353535355
gpt4,ext_def_exp,time expressions,0.5272727272727272,0.6304347826086957,0.5742574257425742,0.6675679875679874
gpt4,cls,time expressions,0.5490196078431373,0.6086956521739131,0.577319587628866,0.6733297258297257
gpt4,cls_def_exp,time expressions,0.5263157894736842,0.6521739130434783,0.5825242718446602,0.6421552891552891
gpt4,cls_exp,time expressions,0.5769230769230769,0.6521739130434783,0.6122448979591837,0.6941861749361748
gpt4,ext_exp,time expressions,0.6666666666666666,0.6521739130434783,0.6593406593406593,0.7895709845709845
llama2-13b,ext,event triggers,0.0,0.0,0.0,0.22540678651349538
llama2-13b,cls,event triggers,0.11666666666666667,0.014462809917355372,0.025735294117647058,0.04734754552769258
llama2-13b,cls_def,event triggers,0.07042253521126761,0.02066115702479339,0.03194888178913738,0.08697943654595328
llama2-13b,cls_exp,event triggers,0.30434782608695654,0.08677685950413223,0.13504823151125403,0.06064354344842149
llama2-13b,ext_def,event triggers,0.20270270270270271,0.15495867768595042,0.17564402810304452,0.16024967452281944
llama2-13b,cls_def_exp,event triggers,0.3430232558139535,0.12190082644628099,0.1798780487804878,0.10548821097691255
llama2-13b,ext_exp,event triggers,0.3286573146292585,0.33884297520661155,0.3336724313326551,0.26975542116677265
llama2-13b,ext_def_exp,event triggers,0.34151329243353784,0.3450413223140496,0.3432682425488181,0.25225286035729944
llama2-13b,cls_def,participants,0.0,0.0,0.0,0.0
llama2-13b,cls,participants,0.0,0.0,0.0,0.0
llama2-13b,ext,participants,0.0,0.0,0.0,0.23011743698748055
llama2-13b,ext_def,participants,0.1223021582733813,0.09239130434782608,0.10526315789473685,0.3799790220272469
llama2-13b,cls_exp,participants,0.16536964980544747,0.1539855072463768,0.15947467166979362,0.23742451520063765
llama2-13b,cls_def_exp,participants,0.15584415584415584,0.1956521739130435,0.17349397590361446,0.2613086067736956
llama2-13b,ext_def_exp,participants,0.1951219512195122,0.17391304347826086,0.18390804597701152,0.24599657537980138
llama2-13b,ext_exp,participants,0.2248995983935743,0.2028985507246377,0.21333333333333332,0.2719391720706471
llama2-13b,cls_def,time expressions,0.0,0.0,0.0,0.0
llama2-13b,cls,time expressions,0.0,0.0,0.0,0.0
llama2-13b,ext_exp,time expressions,0.0,0.0,0.0,0.0
llama2-13b,cls_exp,time expressions,0.0625,0.021739130434782608,0.03225806451612903,0.005208333333333333
llama2-13b,cls_def_exp,time expressions,0.07692307692307693,0.021739130434782608,0.03389830508474576,0.00641025641025641
llama2-13b,ext_def_exp,time expressions,0.2,0.021739130434782608,0.0392156862745098,0.01
llama2-13b,ext_def,time expressions,0.03,0.06521739130434782,0.0410958904109589,0.06255456349206348
llama2-13b,ext,time expressions,0.06382978723404255,0.06521739130434782,0.06451612903225806,0.08046866240126044
llama2-13b-chat,cls,event triggers,0.07488986784140969,0.03512396694214876,0.04781997187060479,0.128543341526565
llama2-13b-chat,cls_def,event triggers,0.09166666666666666,0.045454545454545456,0.06077348066298343,0.1407045169538829
llama2-13b-chat,ext,event triggers,0.1724137931034483,0.06198347107438017,0.0911854103343465,0.36733586684479536
llama2-13b-chat,ext_def,event triggers,0.23195876288659795,0.09297520661157024,0.1327433628318584,0.43755638769673844
llama2-13b-chat,ext_def_exp,event triggers,0.2647058823529412,0.09297520661157024,0.13761467889908255,0.1152132416697634
llama2-13b-chat,ext_exp,event triggers,0.2922374429223744,0.1322314049586777,0.18207681365576103,0.16215562678062678
llama2-13b-chat,cls_exp,event triggers,0.25265017667844525,0.29545454545454547,0.2723809523809524,0.3523737681466583
llama2-13b-chat,cls_def_exp,event triggers,0.2807377049180328,0.2830578512396694,0.2818930041152264,0.3496761109757634
llama2-13b-chat,ext_def_exp,participants,0.2636363636363636,0.05253623188405797,0.08761329305135951,0.12437846484870481
llama2-13b-chat,ext_def,participants,0.2542372881355932,0.05434782608695652,0.08955223880597014,0.5940194136502042
llama2-13b-chat,ext,participants,0.20754716981132076,0.059782608695652176,0.0928270042194093,0.5410957546815943
llama2-13b-chat,cls_def,participants,0.22941176470588234,0.07065217391304347,0.10803324099722991,0.5368022820835827
llama2-13b-chat,cls,participants,0.2564102564102564,0.09057971014492754,0.13386880856760375,0.5246517174375877
llama2-13b-chat,ext_exp,participants,0.22178988326848248,0.10326086956521739,0.14091470951792337,0.2111538714555785
llama2-13b-chat,cls_def_exp,participants,0.14365411436541142,0.18659420289855072,0.1623325453112687,0.3304770976881409
llama2-13b-chat,cls_exp,participants,0.14097496706192358,0.19384057971014493,0.1632341723874905,0.31454292256850874
llama2-13b-chat,cls_def,time expressions,0.02577319587628866,0.21739130434782608,0.04608294930875576,0.05714832357057211
llama2-13b-chat,cls,time expressions,0.03793103448275862,0.2391304347826087,0.06547619047619047,0.07474659534422531
llama2-13b-chat,cls_exp,time expressions,0.10784313725490197,0.4782608695652174,0.17600000000000002,0.12331095987345989
llama2-13b-chat,cls_def_exp,time expressions,0.12849162011173185,0.5,0.20444444444444443,0.14422334609834608
llama2-13b-chat,ext_def_exp,time expressions,0.1346153846153846,0.45652173913043476,0.2079207920792079,0.18444895382395382
llama2-13b-chat,ext_exp,time expressions,0.13953488372093023,0.5217391304347826,0.2201834862385321,0.19099791874791874
llama2-13b-chat,ext_def,time expressions,0.22115384615384615,0.5,0.30666666666666664,0.35273235098235095
llama2-13b-chat,ext,time expressions,0.2702702702702703,0.43478260869565216,0.3333333333333333,0.437217920967921
llama2-70b,cls,event triggers,0.06896551724137931,0.004132231404958678,0.0077972709551656924,0.026513517183630476
llama2-70b,ext,event triggers,0.10891089108910891,0.022727272727272728,0.03760683760683761,0.1111904761904762
llama2-70b,ext_def,event triggers,0.17518248175182483,0.049586776859504134,0.07729468599033817,0.38016199812736184
llama2-70b,cls_def,event triggers,0.15486725663716813,0.07231404958677685,0.09859154929577464,0.176970126159368
llama2-70b,cls_def_exp,event triggers,0.26644736842105265,0.3347107438016529,0.2967032967032967,0.29851544875692704
llama2-70b,cls_exp,event triggers,0.28368794326241137,0.3305785123966942,0.3053435114503817,0.29923483327661426
llama2-70b,ext_def_exp,event triggers,0.2725880551301684,0.3677685950413223,0.3131046613896218,0.3336558495852557
llama2-70b,ext_exp,event triggers,0.26945244956772335,0.38636363636363635,0.3174872665534804,0.3255537840635218
llama2-70b,cls,participants,0.12941176470588237,0.019927536231884056,0.03453689167974882,0.080192619518946
llama2-70b,ext,participants,0.11209439528023599,0.06884057971014493,0.08529741863075196,0.39859154995217716
llama2-70b,ext_def,participants,0.24431818181818182,0.07789855072463768,0.11813186813186813,0.47079981394608944
llama2-70b,cls_def,participants,0.20588235294117646,0.10144927536231885,0.13592233009708737,0.46352636937454683
llama2-70b,cls_def_exp,participants,0.1624548736462094,0.16304347826086957,0.162748643761302,0.38099050502312065
llama2-70b,ext_exp,participants,0.16013628620102216,0.17028985507246377,0.1650570676031607,0.39941361874749504
llama2-70b,cls_exp,participants,0.1799163179916318,0.15579710144927536,0.16699029126213594,0.39868057574165244
llama2-70b,ext_def_exp,participants,0.18838028169014084,0.19384057971014493,0.19107142857142856,0.4207802604108621
llama2-70b,cls_def,time expressions,0.08130081300813008,0.21739130434782608,0.1183431952662722,0.21719605047730045
llama2-70b,cls,time expressions,0.1069182389937107,0.3695652173913043,0.16585365853658537,0.22570006382506377
llama2-70b,cls_exp,time expressions,0.1702127659574468,0.34782608695652173,0.22857142857142854,0.2707595876345876
llama2-70b,cls_def_exp,time expressions,0.1797752808988764,0.34782608695652173,0.23703703703703705,0.2676048257298257
llama2-70b,ext_def_exp,time expressions,0.20833333333333334,0.43478260869565216,0.28169014084507044,0.3921719313824577
llama2-70b,ext_def,time expressions,0.23943661971830985,0.3695652173913043,0.29059829059829057,0.4889200629119984
llama2-70b,ext,time expressions,0.2923076923076923,0.41304347826086957,0.3423423423423424,0.5535908088327444
llama2-70b,ext_exp,time expressions,0.2948717948717949,0.5,0.3709677419354839,0.4127669552669553
llama2-70b-chat,ext_def,event triggers,0.032679738562091505,0.010330578512396695,0.015698587127158554,0.36201401090923235
llama2-70b-chat,ext,event triggers,0.06060606060606061,0.01652892561983471,0.025974025974025976,0.34268286174954954
llama2-70b-chat,cls_def,event triggers,0.1144578313253012,0.07851239669421488,0.09313725490196079,0.28108740082047795
llama2-70b-chat,cls,event triggers,0.14432989690721648,0.08677685950413223,0.10838709677419356,0.23993903739538047
llama2-70b-chat,ext_exp,event triggers,0.25697503671071953,0.3615702479338843,0.30042918454935624,0.2988007008178466
llama2-70b-chat,cls_exp,event triggers,0.27258320126782887,0.35537190082644626,0.30852017937219733,0.30954669435178134
llama2-70b-chat,ext_def_exp,event triggers,0.29482758620689653,0.35330578512396693,0.3214285714285714,0.3541415841919064
llama2-70b-chat,cls_def_exp,event triggers,0.2836676217765043,0.4090909090909091,0.3350253807106599,0.34698113181751866
llama2-70b-chat,ext,participants,0.2111111111111111,0.034420289855072464,0.059190031152647975,0.6097248984655
llama2-70b-chat,ext_def,participants,0.2,0.04528985507246377,0.07385524372230429,0.7084739222351313
llama2-70b-chat,cls_def,participants,0.27918781725888325,0.09963768115942029,0.14686248331108145,0.5864584952496388
llama2-70b-chat,cls,participants,0.2930232558139535,0.11413043478260869,0.16427640156453716,0.5467807392448678
llama2-70b-chat,cls_exp,participants,0.18244170096021947,0.24094202898550723,0.20765027322404372,0.3353338225566821
llama2-70b-chat,cls_def_exp,participants,0.20349761526232116,0.2318840579710145,0.2167654530059272,0.36794365231421916
llama2-70b-chat,ext_exp,participants,0.22735674676524953,0.22282608695652173,0.22506861848124426,0.40145066705408483
llama2-70b-chat,ext_def_exp,participants,0.321353065539112,0.2753623188405797,0.2965853658536585,0.4223380828884674
llama2-70b-chat,cls,time expressions,0.14772727272727273,0.5652173913043478,0.23423423423423426,0.28098844211344215
llama2-70b-chat,cls_def,time expressions,0.15053763440860216,0.6086956521739131,0.2413793103448276,0.30520973470973467
llama2-70b-chat,cls_exp,time expressions,0.224,0.6086956521739131,0.3274853801169591,0.306387432012432
llama2-70b-chat,cls_def_exp,time expressions,0.22900763358778625,0.6521739130434783,0.3389830508474576,0.3306174381174381
llama2-70b-chat,ext,time expressions,0.2976190476190476,0.5434782608695652,0.3846153846153845,0.5205247992747991
llama2-70b-chat,ext_def,time expressions,0.2727272727272727,0.6521739130434783,0.38461538461538464,0.4937426462426462
llama2-70b-chat,ext_def_exp,time expressions,0.2777777777777778,0.6521739130434783,0.3896103896103896,0.38798985736485736
llama2-70b-chat,ext_exp,time expressions,0.31868131868131866,0.6304347826086957,0.4233576642335766,0.40778747641247637
llama2-7b,cls,event triggers,0.0,0.0,0.0,0.0010869565217391304
llama2-7b,ext,event triggers,0.0,0.0,0.0,0.08556253023277498
llama2-7b,cls_def,event triggers,0.09090909090909091,0.01859504132231405,0.030874785591766728,0.03518951983496447
llama2-7b,ext_def,event triggers,0.12413793103448276,0.0743801652892562,0.09302325581395349,0.2938667966877141
llama2-7b,cls_exp,event triggers,0.28286852589641437,0.14669421487603307,0.19319727891156463,0.08884541847041846
llama2-7b,cls_def_exp,event triggers,0.24233128834355827,0.16322314049586778,0.19506172839506175,0.09364310930980176
llama2-7b,ext_def_exp,event triggers,0.21568627450980393,0.38636363636363635,0.2768319763138416,0.21241735845313628
llama2-7b,ext_exp,event triggers,0.2403598971722365,0.38636363636363635,0.2963549920760697,0.23607401410312398
llama2-7b,ext,participants,0.0,0.0,0.0,0.0
llama2-7b,cls,participants,0.07142857142857142,0.009057971014492754,0.016077170418006433,0.04849472476521657
llama2-7b,cls_def,participants,0.2682926829268293,0.019927536231884056,0.03709949409780776,0.06088781153487035
llama2-7b,ext_def,participants,0.07159904534606205,0.05434782608695652,0.06179196704428424,0.31666628882254844
llama2-7b,cls_exp,participants,0.08377518557794274,0.1431159420289855,0.10568561872909699,0.19247940805018954
llama2-7b,ext_def_exp,participants,0.07457627118644068,0.19927536231884058,0.10853478046373953,0.19934360919276795
llama2-7b,ext_exp,participants,0.07778510217534608,0.213768115942029,0.11406476558724023,0.20912360429929958
llama2-7b,cls_def_exp,participants,0.10772578890097932,0.1793478260869565,0.1346023113528212,0.18054893334670516
llama2-7b,cls,time expressions,0.0,0.0,0.0,0.0
llama2-7b,ext_def,time expressions,0.0,0.0,0.0,0.01877613398446732
llama2-7b,ext_exp,time expressions,0.0,0.0,0.0,0.0025320197044334976
llama2-7b,cls_def,time expressions,0.006289308176100629,0.021739130434782608,0.00975609756097561,0.007779814271749755
llama2-7b,ext,time expressions,0.01644736842105263,0.10869565217391304,0.028571428571428567,0.03570994692215622
llama2-7b,ext_def_exp,time expressions,0.08333333333333333,0.021739130434782608,0.034482758620689655,0.02238095238095238
llama2-7b,cls_def_exp,time expressions,0.046875,0.06521739130434782,0.05454545454545454,0.06606060606060607
llama2-7b,cls_exp,time expressions,0.09090909090909091,0.10869565217391304,0.099009900990099,0.1565
llama2-7b-chat,cls_def,event triggers,0.0,0.0,0.0,0.0
llama2-7b-chat,cls,event triggers,0.0,0.0,0.0,0.0
llama2-7b-chat,ext,event triggers,0.059113300492610835,0.024793388429752067,0.034934497816593885,0.2914546337710866
llama2-7b-chat,ext_def,event triggers,0.12915129151291513,0.07231404958677685,0.09271523178807947,0.2589485113690172
llama2-7b-chat,cls_def_exp,event triggers,0.26034063260340634,0.22107438016528927,0.23910614525139667,0.288748461597828
llama2-7b-chat,ext_exp,event triggers,0.2125,0.2809917355371901,0.2419928825622776,0.260425638150133
llama2-7b-chat,ext_def_exp,event triggers,0.2254601226993865,0.3037190082644628,0.25880281690140844,0.2787154326624308
llama2-7b-chat,cls_exp,event triggers,0.2719665271966527,0.26859504132231404,0.27027027027027023,0.3220353760303792
llama2-7b-chat,cls,participants,0.0,0.0,0.0,0.0
llama2-7b-chat,cls_def,participants,0.16666666666666666,0.007246376811594203,0.013888888888888888,0.07565584415584416
llama2-7b-chat,ext_exp,participants,0.08765432098765433,0.1286231884057971,0.10425844346549193,0.25119581045838935
llama2-7b-chat,ext,participants,0.14465408805031446,0.08333333333333333,0.1057471264367816,0.37647705545239923
llama2-7b-chat,ext_def_exp,participants,0.11993769470404984,0.13949275362318841,0.12897822445561138,0.3289895137512559
llama2-7b-chat,ext_def,participants,0.22510822510822512,0.09420289855072464,0.13282247765006386,0.47088811633792693
llama2-7b-chat,cls_exp,participants,0.15800865800865802,0.1322463768115942,0.14398422090729784,0.4036760480475688
llama2-7b-chat,cls_def_exp,participants,0.18886198547215496,0.14130434782608695,0.1616580310880829,0.424834104541233
llama2-7b-chat,cls,time expressions,0.07407407407407407,0.043478260869565216,0.0547945205479452,0.017878787878787876
llama2-7b-chat,ext_exp,time expressions,0.039301310043668124,0.1956521739130435,0.06545454545454545,0.06337890504557171
llama2-7b-chat,ext,time expressions,0.043731778425655975,0.32608695652173914,0.07712082262210797,0.07885690117885191
llama2-7b-chat,cls_def,time expressions,0.07246376811594203,0.10869565217391304,0.08695652173913043,0.03452561327561328
llama2-7b-chat,ext_def,time expressions,0.05860805860805861,0.34782608695652173,0.10031347962382445,0.09891142365463249
llama2-7b-chat,ext_def_exp,time expressions,0.07246376811594203,0.32608695652173914,0.11857707509881424,0.09914000814000812
llama2-7b-chat,cls_exp,time expressions,0.07514450867052024,0.2826086956521739,0.11872146118721462,0.11296332371332371
llama2-7b-chat,cls_def_exp,time expressions,0.08139534883720931,0.30434782608695654,0.12844036697247707,0.10839268601768601
