model,template,entity,precision,recall,f1,f1_r
gpt3,cls_def_exp,time expressions,0.22660098522167488,0.37398373983739835,0.2822085889570552,0.3535780366018461
gpt3,cls_exp,time expressions,0.2524271844660194,0.42276422764227645,0.31610942249240126,0.3616874632920181
gpt3,ext,time expressions,0.43157894736842106,0.3333333333333333,0.3761467889908257,0.6980619459905174
gpt3,ext_exp,time expressions,0.3602941176470588,0.3983739837398374,0.37837837837837834,0.6161932161753592
gpt3,ext_def,time expressions,0.4017094017094017,0.3821138211382114,0.39166666666666666,0.6262233388304816
gpt3,ext_def_exp,time expressions,0.3724137931034483,0.43902439024390244,0.4029850746268657,0.5629811737826445
gpt4,ext,event triggers,0.28013029315960913,0.16104868913857678,0.20451843043995246,0.5325549619834817
gpt4,ext_def,event triggers,0.27167630057803466,0.1760299625468165,0.21363636363636362,0.4900952751679314
gpt4,cls_def,event triggers,0.37857142857142856,0.29775280898876405,0.33333333333333337,0.5544896179853325
gpt4,cls,event triggers,0.6086956521739131,0.550561797752809,0.5781710914454278,0.7160318937278694
gpt4,cls_exp,event triggers,0.778969957081545,0.6797752808988764,0.726,0.7890895678575219
gpt4,ext_exp,event triggers,0.7240740740740741,0.7322097378277154,0.7281191806331473,0.7125620965686968
gpt4,ext_def_exp,event triggers,0.717391304347826,0.7415730337078652,0.729281767955801,0.742303325351078
gpt4,cls_def_exp,event triggers,0.7746478873239436,0.7209737827715356,0.7468477206595537,0.7818977928389693
gpt4,ext_def,time expressions,0.6,0.4878048780487805,0.538116591928251,0.8064425362996792
gpt4,ext,time expressions,0.6666666666666666,0.5203252032520326,0.5844748858447488,0.8088396808218234
gpt4,ext_def_exp,time expressions,0.6836734693877551,0.5447154471544715,0.6063348416289592,0.8218048776620206
gpt4,cls_def_exp,time expressions,0.6428571428571429,0.5853658536585366,0.6127659574468085,0.8095615171865174
gpt4,cls,time expressions,0.75,0.5609756097560976,0.6418604651162791,0.8517950937950939
gpt4,ext_exp,time expressions,0.7368421052631579,0.5691056910569106,0.6422018348623854,0.8374275929097358
gpt4,cls_exp,time expressions,0.7446808510638298,0.5691056910569106,0.6451612903225806,0.836331598956599
gpt4,cls_def,time expressions,0.6972477064220184,0.6178861788617886,0.6551724137931035,0.8217538480038481
llama2-13b,cls_def,event triggers,0.0,0.0,0.0,0.026945655376058288
llama2-13b,ext,event triggers,0.0,0.0,0.0,0.141350993173605
llama2-13b,cls,event triggers,0.06315789473684211,0.011235955056179775,0.01907790143084261,0.023585945557898277
llama2-13b,cls_def_exp,event triggers,0.15789473684210525,0.011235955056179775,0.020979020979020976,0.007456140350877193
llama2-13b,ext_def,event triggers,0.1125,0.016853932584269662,0.029315960912052116,0.08306757827322807
llama2-13b,cls_exp,event triggers,0.46153846153846156,0.033707865168539325,0.06282722513089006,0.05185185185185185
llama2-13b,ext_exp,event triggers,0.1693121693121693,0.0599250936329588,0.08852005532503458,0.041246211537473675
llama2-13b,ext_def_exp,event triggers,0.17699115044247787,0.0749063670411985,0.10526315789473684,0.041646644437906576
llama2-13b,cls_exp,time expressions,0.0,0.0,0.0,0.0037167663254619775
llama2-13b,cls_def,time expressions,0.0,0.0,0.0,0.013280707297207112
llama2-13b,cls,time expressions,0.0,0.0,0.0,0.009374385326514556
llama2-13b,cls_def_exp,time expressions,0.0,0.0,0.0,0.0009661835748792268
llama2-13b,ext,time expressions,0.03571428571428571,0.008130081300813009,0.013245033112582781,0.07393458951941594
llama2-13b,ext_def_exp,time expressions,0.013793103448275862,0.016260162601626018,0.01492537313432836,0.054271821769815785
llama2-13b,ext_exp,time expressions,0.02127659574468085,0.024390243902439025,0.022727272727272728,0.06225097404149184
llama2-13b,ext_def,time expressions,0.05084745762711865,0.024390243902439025,0.032967032967032975,0.06899153189070482
llama2-13b-chat,cls_def,event triggers,0.007462686567164179,0.0018726591760299626,0.0029940119760479044,0.03724905383574114
llama2-13b-chat,cls,event triggers,0.00909090909090909,0.0018726591760299626,0.0031055900621118015,0.03409536284149287
llama2-13b-chat,ext,event triggers,0.04790419161676647,0.0149812734082397,0.02282453637660485,0.18299478088647403
llama2-13b-chat,ext_def,event triggers,0.06451612903225806,0.0149812734082397,0.0243161094224924,0.2359550455620277
llama2-13b-chat,ext_def_exp,event triggers,0.1941031941031941,0.14794007490636704,0.16790648246546228,0.14338817621888852
llama2-13b-chat,cls_def_exp,event triggers,0.18518518518518517,0.17790262172284643,0.18147086914995222,0.17690621256910186
llama2-13b-chat,cls_exp,event triggers,0.1827956989247312,0.19101123595505617,0.18681318681318684,0.19006283662997944
llama2-13b-chat,ext_exp,event triggers,0.19391025641025642,0.22659176029962547,0.20898100172711573,0.21674568981313763
llama2-13b-chat,cls,time expressions,0.06666666666666667,0.13821138211382114,0.08994708994708994,0.13648428159142445
llama2-13b-chat,cls_def,time expressions,0.06896551724137931,0.14634146341463414,0.09374999999999999,0.16478722359184544
llama2-13b-chat,cls_exp,time expressions,0.08359133126934984,0.21951219512195122,0.12107623318385649,0.14941625097264194
llama2-13b-chat,ext_def_exp,time expressions,0.10619469026548672,0.1951219512195122,0.13753581661891118,0.2299031468648065
llama2-13b-chat,cls_def_exp,time expressions,0.12109375,0.25203252032520324,0.16358839050131926,0.18417339363535018
llama2-13b-chat,ext_exp,time expressions,0.1308411214953271,0.22764227642276422,0.1661721068249258,0.27161125253649765
llama2-13b-chat,ext,time expressions,0.19078947368421054,0.23577235772357724,0.2109090909090909,0.3957249989637207
llama2-13b-chat,ext_def,time expressions,0.20408163265306123,0.24390243902439024,0.22222222222222224,0.44004591619534156
llama2-70b,cls_def,event triggers,0.09009009009009009,0.018726591760299626,0.031007751937984496,0.058105470917970914
llama2-70b,cls,event triggers,0.08461538461538462,0.020599250936329586,0.03313253012048193,0.03516018907563025
llama2-70b,ext,event triggers,0.13733905579399142,0.0599250936329588,0.08344198174706649,0.16103006677001433
llama2-70b,cls_exp,event triggers,0.294478527607362,0.0898876404494382,0.13773314203730272,0.18712588372362807
llama2-70b,ext_def,event triggers,0.23137254901960785,0.1104868913857678,0.14955640050697086,0.47828047872791657
llama2-70b,ext_def_exp,event triggers,0.24734982332155478,0.26217228464419473,0.2545454545454546,0.23271989829542344
llama2-70b,cls_def_exp,event triggers,0.4520547945205479,0.1853932584269663,0.26294820717131473,0.29733253130311954
llama2-70b,ext_exp,event triggers,0.23538011695906433,0.301498127340824,0.2643678160919541,0.22739893444238848
llama2-70b,cls,time expressions,0.03614457831325301,0.024390243902439025,0.02912621359223301,0.13368893298059964
llama2-70b,cls_def,time expressions,0.04285714285714286,0.04878048780487805,0.045627376425855515,0.1810079473501605
llama2-70b,cls_exp,time expressions,0.08270676691729323,0.17886178861788618,0.11311053984575833,0.1480286047602512
llama2-70b,cls_def_exp,time expressions,0.0888030888030888,0.18699186991869918,0.12041884816753927,0.18326390948329102
llama2-70b,ext,time expressions,0.09322033898305085,0.17886178861788618,0.12256267409470752,0.30845365418081366
llama2-70b,ext_def,time expressions,0.14893617021276595,0.17073170731707318,0.1590909090909091,0.4169762895057012
llama2-70b,ext_def_exp,time expressions,0.2184873949579832,0.21138211382113822,0.21487603305785125,0.4524218214417549
llama2-70b,ext_exp,time expressions,0.23809523809523808,0.2032520325203252,0.21929824561403508,0.3873109668109668
llama2-70b-chat,ext,event triggers,0.02631578947368421,0.00749063670411985,0.011661807580174927,0.2725202660714652
llama2-70b-chat,ext_def,event triggers,0.04878048780487805,0.0149812734082397,0.022922636103151862,0.2527519336220303
llama2-70b-chat,cls,event triggers,0.040106951871657755,0.028089887640449437,0.033039647577092504,0.1133877019644965
llama2-70b-chat,cls_def,event triggers,0.06687898089171974,0.03932584269662921,0.049528301886792456,0.19054477136275363
llama2-70b-chat,cls_exp,event triggers,0.20722891566265061,0.16104868913857678,0.18124341412012646,0.2333047250240889
llama2-70b-chat,cls_def_exp,event triggers,0.23579545454545456,0.15543071161048688,0.18735891647855532,0.23565657555770744
llama2-70b-chat,ext_exp,event triggers,0.3767441860465116,0.4550561797752809,0.4122137404580153,0.40872922825633323
llama2-70b-chat,ext_def_exp,event triggers,0.3620457604306864,0.5037453183520599,0.4212999216914644,0.44941406174181686
llama2-70b-chat,cls,time expressions,0.11594202898550725,0.2601626016260163,0.16040100250626566,0.23102143074135556
llama2-70b-chat,cls_exp,time expressions,0.12757201646090535,0.25203252032520324,0.16939890710382513,0.20179383116883115
llama2-70b-chat,cls_def_exp,time expressions,0.13513513513513514,0.2845528455284553,0.18324607329842932,0.23091054632217398
llama2-70b-chat,cls_def,time expressions,0.14682539682539683,0.3008130081300813,0.19733333333333336,0.2020311388347103
llama2-70b-chat,ext_def_exp,time expressions,0.15289256198347106,0.3008130081300813,0.20273972602739726,0.40020881559960514
llama2-70b-chat,ext_exp,time expressions,0.20689655172413793,0.34146341463414637,0.2576687116564417,0.467905925395056
llama2-70b-chat,ext_def,time expressions,0.28104575163398693,0.34959349593495936,0.3115942028985507,0.5724469246031746
llama2-70b-chat,ext,time expressions,0.3111111111111111,0.34146341463414637,0.3255813953488372,0.5916640211640212
llama2-7b,cls_def,event triggers,0.0,0.0,0.0,0.03339873806306927
llama2-7b,ext_def,event triggers,0.0,0.0,0.0,0.1808173439823741
llama2-7b,ext,event triggers,0.0,0.0,0.0,0.10070604140320345
llama2-7b,cls,event triggers,0.06451612903225806,0.00749063670411985,0.013422818791946307,0.004878048780487805
llama2-7b,cls_def_exp,event triggers,0.1897810218978102,0.04868913857677903,0.07749627421758569,0.05080455259026687
llama2-7b,ext_exp,event triggers,0.21818181818181817,0.06741573033707865,0.10300429184549355,0.05366752761710745
llama2-7b,cls_exp,event triggers,0.22807017543859648,0.07303370786516854,0.11063829787234042,0.07873283284605707
llama2-7b,ext_def_exp,event triggers,0.24489795918367346,0.11235955056179775,0.1540436456996149,0.11635685759367145
llama2-7b,cls_def,time expressions,0.0,0.0,0.0,0.003947368421052632
llama2-7b,cls,time expressions,0.0,0.0,0.0,0.0
llama2-7b,ext_def,time expressions,0.0,0.0,0.0,0.025619213185268573
llama2-7b,ext,time expressions,0.0,0.0,0.0,0.07957541491596619
llama2-7b,cls_exp,time expressions,0.016666666666666666,0.016260162601626018,0.016460905349794237,0.0178265977443609
llama2-7b,cls_def_exp,time expressions,0.014778325123152709,0.024390243902439025,0.01840490797546012,0.016920570722390744
llama2-7b,ext_exp,time expressions,0.030303030303030304,0.016260162601626018,0.021164021164021166,0.009640522875816992
llama2-7b,ext_def_exp,time expressions,0.023076923076923078,0.024390243902439025,0.023715415019762844,0.014431503784309425
llama2-7b-chat,cls_def,event triggers,0.0,0.0,0.0,0.0
llama2-7b-chat,cls,event triggers,0.0,0.0,0.0,0.0
llama2-7b-chat,ext,event triggers,0.08766233766233766,0.05056179775280899,0.06413301662707838,0.19177626225704142
llama2-7b-chat,ext_def,event triggers,0.1541095890410959,0.08426966292134831,0.1089588377723971,0.25745409378010725
llama2-7b-chat,cls_exp,event triggers,0.28517110266159695,0.2808988764044944,0.28301886792452835,0.273634078177228
llama2-7b-chat,ext_exp,event triggers,0.31685393258426964,0.2640449438202247,0.2880490296220633,0.2880159261418027
llama2-7b-chat,cls_def_exp,event triggers,0.2903225806451613,0.30337078651685395,0.2967032967032967,0.29214864213031666
llama2-7b-chat,ext_def_exp,event triggers,0.2922824302134647,0.3333333333333333,0.31146106736657914,0.32763668808625523
llama2-7b-chat,cls,time expressions,0.0,0.0,0.0,0.0037280701754385964
llama2-7b-chat,cls_def,time expressions,0.04838709677419355,0.024390243902439025,0.03243243243243243,0.06590828878300273
llama2-7b-chat,ext,time expressions,0.053061224489795916,0.10569105691056911,0.07065217391304349,0.1809178452552984
llama2-7b-chat,cls_def_exp,time expressions,0.06542056074766354,0.11382113821138211,0.0830860534124629,0.13851587301587304
llama2-7b-chat,cls_exp,time expressions,0.06796116504854369,0.11382113821138211,0.0851063829787234,0.1189236936810466
llama2-7b-chat,ext_def_exp,time expressions,0.06639004149377593,0.13008130081300814,0.08791208791208792,0.10941571945719411
llama2-7b-chat,ext_exp,time expressions,0.07720588235294118,0.17073170731707318,0.10632911392405064,0.13282574462787597
llama2-7b-chat,ext_def,time expressions,0.09595959595959595,0.15447154471544716,0.11838006230529594,0.2329031453091603
